time (us), m_acc_x, m_acc_y, m_acc_z, m_mag_x, m_gyr_y, m_gyr_z, m_mag_x, m_mag_y, m_mag_z, l_acc_x, l_acc_y, l_acc_z, l_gyr_x, l_gyr_y, l_gyr_z, l_mag_x, l_mag_y, l_mag_z
958, -0.086191, +0.268151, +9.710882, -0.027670, -0.011706, +0.002128, -3536.868164, +29.763281, +0.000000, -0.035892, +0.143569, +9.504291, -0.050091, -0.008552, +0.036652, +52.722000, -36.830000, +56.434000,
102158, -0.057461, +0.220267, +9.658209, -0.027670, -0.015963, +0.002128, +67.016602, +0.537891, +36.348047, -0.043071, +0.122034, +9.511470, -0.041539, -0.012217, +0.034208, +52.954000, -37.062000, +56.840000,
203253, -0.033519, +0.215478, +9.706094, -0.027670, -0.011706, +0.002128, +70.412109, +0.000000, +37.553906, -0.129212, +0.179462, +9.597611, -0.039095, -0.006109, +0.036652, +53.012000, -37.468000, +56.550000,
304388, -0.014365, +0.215478, +9.758766, -0.026606, -0.010642, +0.003193, +67.552734, +1.434375, +37.553906, -0.043071, +0.129212, +9.561719, -0.040317, -0.007330, +0.035430, +52.954000, -36.830000, +56.028000,
405559, -0.023942, +0.225055, +9.787496, -0.028734, -0.013835, +0.003193, +67.552734, +1.434375, +37.553906, -0.064606, +0.165105, +9.518648, -0.040317, -0.006109, +0.035430, +52.374000, -37.004000, +56.086000,
506634, -0.043096, +0.239420, +9.715670, -0.029798, -0.012771, +0.003193, +69.161133, +0.537891, +37.037109, -0.122034, +0.050249, +9.611968, -0.040317, -0.007330, +0.039095, +52.722000, -37.468000, +55.448000,
607785, -0.071826, +0.239420, +9.662998, -0.026606, -0.012771, +0.002128, +69.161133, +0.537891, +37.037109, -0.043071, +0.157926, +9.604790, -0.043982, -0.010996, +0.034208, +52.722000, -37.062000, +55.854000,
708843, -0.004788, +0.306458, +9.629479, -0.027670, -0.012771, +0.002128, +69.161133, +0.537891, +37.037109, -0.093320, +0.122034, +9.619147, -0.048869, -0.010996, +0.039095, +53.244000, -37.062000, +56.550000,
809951, -0.043096, +0.320823, +9.816227, -0.024477, -0.013835, +0.002128, +68.625000, +1.075781, +35.831250, -0.014357, +0.136391, +9.655039, -0.043982, -0.012217, +0.035430, +53.186000, -36.540000, +56.202000,
911000, -0.114922, +0.339977, +9.763554, -0.026606, -0.010642, +0.003193, +69.339844, +0.358594, +35.486719, -0.021535, +0.093320, +9.597611, -0.041539, -0.003665, +0.036652, +53.766000, -36.772000, +55.564000,
